Listing URL,Name of Activity,Date,Location,Event Synopsis,Event Description,Registration Link,Activity Category
https://www.wateraid.org//uk/get-involved/teaching/ks1-resources,KS1 resources,NA,NA,"Introduce your KS1 pupils to children like Bienvenu (above) and discover the importance of clean water, decent toilets and good hygiene with our engaging lesson plans.",NA,NA,teaching
https://www.wateraid.org//uk/get-involved/teaching-resources/menstrual-hygiene-day-activities,Menstrual Hygiene Day activities,NA,NA,"28 May is Menstrual Hygiene Day: the perfect opportunity to explore gender inequality, menstrual hygiene management, and issues around access to water and toilets.","On any given day, more than 300 million people are on their period – but a quarter of them have to manage without essential clean water, decent toilets and good hygiene knowledge. ",NA,teaching resources
https://www.wateraid.org//uk/get-involved/teaching/ks2-resources,KS2 resources,NA,NA,"Take your KS2 pupils on a journey to meet children like Josy (above) and discover the importance of clean water, decent toilets and good hygiene through our curriculum-linked lesson plans and engaging activities.",NA,NA,teaching
https://www.wateraid.org//uk/get-involved/teaching-resources/world-toilet-day-activities,World Toilet Day activities,NA,NA,Use World Toilet Day on 19 November to learn more about the importance of decent toilets.,"It can be easy to take a simple toilet for granted. But 1.5 billion people – that's almost one in five of us – don’t have a decent one of their own.Not having access to a decent toilet isn't just undignified – it's dangerous.With no way of managing human waste properly, diseases spread quickly. Going outside is unsafe, especially at night, and for women and children.And, when there's no loo at school or work, many people stay at home instead – missing out on important opportunities to get an education, earn a decent living, and improve their lives.",NA,teaching resources
https://www.wateraid.org//uk/get-involved/volunteering/university-and-rag-fundraising,University and RAG fundraising,NA,NA,Are you passionate about everyone having access to clean water? Do you want to make a difference during your time at university? Get involved with WaterAid as a student and turn your passion into action.,"Here in the UK, we probably take clean water, decent toilets and good hygiene for granted. But millions of people still don't have these vital services. Help us make them normal for everyone, everywhere within a generation - there are so many ways to get involved... ",NA,volunteering
https://www.wateraid.org//uk/get-involved/events/henley-swim-festival/thames-marathon,Henley Swim Festival: Thames Marathon,11 August 2024,Marlow,"Push yourself with a half marathon challenge (5.5km), or tackle the full 13km from Henley to Marlow!","Covering a beautiful stretch of the river, the Thames Marathon has become one of open water swimming's most prestigious endurance swims. Register for the Thames Marathon Not the right challenge for you? You can also join us at one of Henley Swim's other iconic events, Henley Swim Festival or Pub to Club. ",https://endurancecui.active.com/event-reg/select-race?e=89269309,events
https://www.wateraid.org//uk/get-involved/fundraising/recycle-and-donate-your-unwanted-items-to-wateraid,Recycle and donate your unwanted items to WaterAid,NA,NA,"Clearing out your cupboards? Don’t throw your unloved items away! Your old mobile phone, unwanted jewellery and even your old car can change lives, if you recycle them with WaterAid.","Love your new phone, but not sure what to do with your old one? Recycle it for WaterAid and we’ll use the money to transform lives with clean water, decent toilets and good hygiene. You could even arrange a collection at your workplace or school. And with every phone raising an average of £5, you’ll soon be making a big difference.Ready to get started? Follow these four easy steps on Fonebank >",NA,fundraising
https://www.wateraid.org//uk/get-involved/giving/hire-our-handwashing-hubs,Hire our Handwashing Hubs,NA,NA,"Hire our contactless handwashing facilities to help make your event safer. Give your patrons a dedicated space to wash their hands with water and soap, whilst supporting WaterAid's work to bring clean water to people around the world.","Frequent handwashing is one of the most effective ways to stop the spread of COVID-19. With this is mind we have developed a freestanding handwashing station with running water and soap. Our contactless handwashing hubs features a foot pump and touchless soap dispensers to minimise contact - following the same design used in the countries we work.WaterAid staff will manage the space and ensure the Hubs are cleaned regularly, to the highest standard.",NA,giving
https://www.wateraid.org//uk/get-involved/events/henley-swim-festival,Henley Swim Festival,13 July 2024 - 14 July 2024,Henley-on-Thames,"Join Team WaterAid at this family-friendly festival, celebrating the joys of being next to, on, or in the river!","Take your pick from a range of distances, from half a mile to 4km – perfect if you're new to outdoor swimming! Plus, with plenty of other activities on offer too – both in the water and firmly on solid ground – there's something for everyone to enjoy. Register for Henley Swim Festival Not the right challenge for you? You can also join us at one of Henley Swim's other iconic events, Club to Pub or the Thames Marathon. ",https://endurancecui.active.com/event-reg/select-race?e=89269309,events
https://www.wateraid.org//uk/get-involved/teaching-resources/ks2/managing-climate-change,KS2: Managing climate change,NA,NA,"This lesson asks how we can manage the impacts of climate change, and the explores the differences between adaptation and mitigation techniques.","By the end of this lesson, pupils will be able to:compare different ways of managing climate change,
select the most appropriate management techniques.",NA,teaching resources
https://www.wateraid.org//uk/get-involved/fundraising/bake-for-wateraid,Bake for WaterAid,NA,NA,"Sweet or savoury, everyone loves a bake sale – and few people would turn down a piece of cake for a good cause!","If you don't want to be the only one slaving over a hot stove, get your colleagues or friends involved by adding a competitive element – nominate a few lucky judges and ask them to vote on the tastiest culinary contribution. Remind everyone it's all for a great cause with some WaterAid resources to draw attention to your sale. We can send you a tablecloth, balloons, bunting, leaflets and a collection tin – drop us a line at [email protected] and we'll be happy to help. ",NA,fundraising
https://www.wateraid.org//uk/get-involved/fundraising/play-our-raffle,The WaterAid Raffle,NA,NA,"Playing our raffle helps to bring clean water, decent toilets and good hygiene to communities around the world, ensuring girls like Malala can go to school, gain an education, and achieve their goals.",NA,NA,fundraising
https://www.wateraid.org//uk/get-involved/teaching-resources/ks2/climate-change,KS2: Climate change,NA,NA,"This lesson helps explain the global impacts of climate change, and introduces the idea of shared responsibility.","By the end of this lesson, pupils will be able to:understand the effects of climate change on the world,
understand that we have a shared responsibility to help.",NA,teaching resources
https://www.wateraid.org//uk/get-involved/teaching/nepal-educational-resources,"No water, no lessons, no choice: Educational resources",NA,NA,"Use these classroom resources, created in partnership with Anglian Water and Welsh Water, to engage your pupils with issues surrounding WASH (water, sanitation and hygiene) and girls’ access to education.","A film, presentations, teacher notes, games and worksheet activities are linked to a variety of subjects and aligned to the English and Welsh curriculum. With a focus on Nepal, activities introduce pupils to the themes of access to WASH, and its impacts on girls' education. Students will develop their key skills and understanding, within the context of international development. Resources can be used as part of a sequence of learning, a one-off lesson, or as standalone activities. With thanks to Anglian Water and Welsh Water for creating the lesson plans and worksheets in partnership with us. ",NA,teaching
https://www.wateraid.org//uk/get-involved/events/royal-parks-half-marathon,Royal Parks Half Marathon,13 October 2024,"Hyde Park, London",Wind through four of London's eight Royal Parks on this stunningly scenic half marathon.,"Starting and finishing in Hyde Park, you'll run along closed roads and through three more of London's eight Royal Parks – The Green Park, St James's Park, and Kensington Gardens – as you pass by some of the capital's most recognised landmarks. When you cross the finish line, you won't just be achieving your own goal: you'll be helping others reach theirs too, thanks to the life-changing power of clean water, decent toilets and good hygiene. ",NA,events
https://www.wateraid.org//uk/get-involved/teaching-resources/world-water-day-activities,World Water Day activities,NA,NA,"Use World Water Day on 22 March to introduce your pupils to the importance of clean water, and explore why so many people are still living without.","703 million people in the world – that's almost one in ten of us – don't have clean water close to home.Without this basic human right, whole communities are held back: children miss out on an education, people struggle to earn a decent living, and families are often ill.Use World Water Day as an opportunity to introduce your pupils to the importance of water, learn about some of the barriers that prevent people accessing this vital resource, and explore how WaterAid works with communities to reach everyone, everywhere with clean water.",NA,teaching resources
https://www.wateraid.org//uk/get-involved/fundraising/paying-in-your-money,Paying in your money,NA,NA,"Thank you for raising money for WaterAid! There are a number of ways you can pay it in and the sooner you do, the sooner we can use your fundraising money to bring clean water, decent toilets and good hygiene to everyone, everywhere.","You can send in your donation in a number of different ways.You can use our online paying in form, which allows you to pay via credit or debit card or PayPal.Pay in onlineIf you’re making a bank transfer please use the following details:WaterAid Current Account
Barclays Bank PLC
Sort code: 20-65-82
Account number: 20422746Make sure you also fill in and send us the relevant donation form (see below). Without the form we won't know where the money has come from, or be able to thank you for your generosity!If you’re sending in a cheque, please make it payable to WaterAid and send it to:FREEPOST RUGA-JGET-UXRZ
WaterAid
126 Fairlie Road
Slough
SL1 4PYPlease also fill in the relevant donation form (see below) and send it in to us along with your cheque.If you want to pay your money in over the phone, or you have any queries about the paying in process, then give our Supporter Care team a call on 020 7793 4594 – they'll be happy to help!",NA,fundraising
https://www.wateraid.org//uk/get-involved/giving/hire-our-event-services,Hire our event services,NA,NA,"If you’re an event organiser looking to hire water, sanitation and hygiene services, such as toilets, handwashing stations or waterpoint management, look no further than WaterAid’s special events team!","Our mission is to bring clean water, decent toilets and good hygiene to everyone, everywhere, which means we know a thing or two about creating high-quality sanitation services. What's more, we've been working with major festivals and events for decades, taking our dedicated volunteers to deliver efficient, friendly and great value services. ",NA,giving
https://www.wateraid.org//uk/get-involved/fundraising/fundraising-ideas-for-schools,Fundraising ideas for schools,NA,NA,"There are loads of great ways to raise money for WaterAid at your school, with activities that kids will love. If you have any ideas you want to add, just contact our Community Team!",NA,NA,fundraising
https://www.wateraid.org//uk/get-involved/at-home/listen-to-the-sound-of-water-voice-app,Listen to The Sound of Water voice app,NA,NA,"Immerse yourself in the soothing sounds of rivers, lakes and waterfalls around the world with our new voice application. Perfect for zoning out, meditating or even helping you focus while working and being creative.",NA,NA,at home
https://www.wateraid.org//uk/get-involved/volunteering/community-events-team-volunteer,Volunteer with the Community and Events team,NA,NA,Develop your skills while helping the Community and Events team provide excellent stewardship to WaterAid supporters.,"Please note: this is a voluntary role, with travel expenses to/from the WaterAid office in Canary Wharf and in-person events covered. Responsibilities include: This role also has the possibility to extend to assist with other events and wider team activities. Download the full role description (PDF) ",NA,volunteering
https://www.wateraid.org//uk/get-involved/volunteering/volunteer-at-an-event,Volunteer at an event,NA,NA,Join us on the sideline at some of our events and give our amazing fundraisers the support they deserve.,"Every event is different, but one thing's for certain: there's always an incredible atmosphere, passionate people, and terrific displays of dedication! We always need extra support to make sure everything runs smoothly: you could be cheering on our fundraisers, face-painting, presenting medals, giving out water, course marshalling, or registering participants. Once you complete our application form, we’ll be able to let you know what roles we have available and how you can help. Apply to volunteer with WaterAid ",NA,volunteering
https://www.wateraid.org//uk/get-involved/teaching-resources/global-handwashing-day-germ-craft-activity,Global Handwashing Day: Germ craft activity,NA,NA,"Learn what germs do, how they spread, and how we can get rid of them with good hand hygiene.","Use this craft-based activity to help young people understand that we can't see germs, and need to wash our hands even when they look or feel clean. Students can complete the activity in pairs or individually, depending on access to materials and time available. Download the activity pack (PDF) ",NA,teaching resources
https://www.wateraid.org//uk/get-involved/giving/ways-to-donate-to-wateraid-in-memory-of-a-loved-one,Ways to donate to WaterAid in memory of a loved one,NA,NA,"Thank you for choosing to donate in memory of your loved one. Your gift not only honours them, but will provide clean water, decent toilets and improved hygiene to people like Madeleine Ravaonarivo, known as Mamavao, and her grandson Rindra.","Make a donation in memory of your loved one Alternatively, you can set up a Lasting Love tribute space to share with others and contribute to collectively. ",NA,giving
https://www.wateraid.org//uk/get-involved/giving/philanthropy-and-trusts,Philanthropy and trusts,NA,NA,[Hidden],"Invest in WaterAid and you’ll be joining an established movement of philanthropists, trusts and foundations who share our vision of a world where everyone, everywhere has clean water, decent toilets and good hygiene.With all three, we can unlock progress for people, communities and economies worldwide. And with major investment, we can accelerate that progress and demand change on a global scale.",NA,giving
https://www.wateraid.org//uk/get-involved/events/great-north-swim,Great North Swim,13 June 2025 - 15 June 2025,"Windermere, Lake District","Whether you’re already a swimming fanatic or you're looking for a brand-new challenge, join team WaterAid and help bring the joy of clean water to people around the world.",The Great Swim Series has provided thousands of swimmers with exhilarating safe open water swimming events for over ten years. The Great North Swim offers a range of distances – from the family-friendly to the Olympic-level – so there really is an event for everyone! ,NA,events
https://www.wateraid.org//uk/get-involved/teaching/try-our-alexa-skill,Try our Alexa skill,NA,NA,"Introducing WaterAid Voices, a ground-breaking educational experience for Amazon Alexa devices.","WaterAid Voices is an interactive storytelling experience that helps you learn about life in another land – a country rich with wildlife and culture, but missing three important things: clean water, decent toilets and good hygiene.Take a journey through sound to the Madagascan village of Tsarafangitra. Through a series of six fun interactive voice messages, you will learn some handy phrases in the local language, recipes in Malagasy cuisine and how to spot a zebu through quizzes and mini-games.",NA,teaching
https://www.wateraid.org//uk/get-involved/events/ride-across-britain,Ride Across Britain: Land's End to John O'Groats,7 September 2024 - 15 September 2024,Land's End to John O'Groats,Land’s End to John O’Groats by bike: it’s a bucket-list challenge for a reason!,"Take on the ultimate UK cycle challenge over nine days, fully supported and with all the logistics taken care of – so all you need to do is focus on enjoying this iconic ride.From clifftops to moorlands, along hidden backroads and over soaring peaks: you’ll experience the most spectacular cycling the UK has to offer as you pedal through 23 counties across England, Wales and Scotland.Find out more on the Ride Across Britain website",https://endurancecui.active.com/new/events/80763833/forms?_p=8571093361870907&inviteId=98bffb71-e8ef-402a-b708-80b587e6e0ce&locale=en_GB,events
https://www.wateraid.org//uk/get-involved/teaching/sign-up-to-the-schools-newsletter,Sign up to the schools newsletter,NA,NA,"Sign up to our e-newsletter for everything you need to bring WaterAid into your classroom. Our regular emails include new learning resources and lesson plans for all key stages,  exciting news and fundraising inspiration.",NA,NA,teaching
https://www.wateraid.org//uk/get-involved/teaching-resources/ks4/climate-change-natural-causes,KS4: Natural causes of climate change,NA,NA,This lesson introduces the natural causes of climate change and explores the greenhouse effect.,"By the end of this lesson, pupils will be able to:explain the greenhouse effect,
judge the evidence of natural climate change.",NA,teaching resources
https://www.wateraid.org//uk/get-involved/teaching-resources/climate-change,Climate change teaching resources,NA,NA,"Use our curriculum-based lesson plans, games, activities and films to explore climate change with your pupils: from its causes and impacts on people and the planet, to the different approaches for managing our response to it.",NA,NA,teaching resources
https://www.wateraid.org//uk/get-involved/events/swim-marathon,Swim Marathon,1 August 2024 - 24 October 2024,"Pool, lido or open water",Take on a challenge like no other as you swim a marathon or half marathon distance over 12 weeks.,"Whether you’re already a swimming fanatic or you're looking to dip your toe in for the first time, take your health, wellbeing and fitness to the next level – and raise funds for the almost 1 in 10 people who don’t have clean water close to home. How you do it is completely up to you: break your swim challenge down to weekly laps, or reach your distance over a few swims. What's important is you have fun, enjoy the water and raise some money to bring the joy of clean water to others around the world! ",https://wateraid.enthuse.com/cf/swim-marathon-2024,events
https://www.wateraid.org//uk/get-involved/teaching-resources/ks2/climate-change-impacts,KS2: Climate change impacts,NA,NA,"This lesson introduces the impacts of climate change, what they mean for our planet, and how they might change over time.","By the end of this lesson, pupils will be able to:compare the impacts of climate change,
explain how climate change might affect our lives.",NA,teaching resources
https://www.wateraid.org//uk/get-involved/teaching/ks3-resources,KS3 resources,NA,NA,"Teach your KS3 pupils about the water and sanitation crisis, discover the effect it has on girls like Julianna, and explore simple solutions that are helping solve the crisis.",NA,NA,teaching
https://www.wateraid.org//uk/get-involved/giving/make-your-donation-go-further-with-gift-aid,Make your donation go further with Gift Aid,NA,NA,"Your donation can have an even bigger impact. By using Gift Aid, for every pound you give to WaterAid, we get an extra 25p from HMRC at no extra cost to you.","You can help even more people like Lucie from Madagascar to transform their lives with clean water, decent toilets and good hygiene. Using Gift Aid means that for every pound you give to WaterAid, we get an extra 25p from HMRC at no extra cost to you, helping your donation do so much more. Please fill out the form to make your donation go further with Gift Aid. These details are required so we can claim Gift Aid on your behalf. ",NA,giving
https://www.wateraid.org//uk/get-involved/events/hackney-half-marathon,Hackney Half Marathon,18 May 2025,"Hackney Marshes, London","Cross the finish line into a full festival of fitness on Hackney Marshes – just like the borough, this route brings the spirit!","Registrations to join Team WaterAid for the Hackney Half Marathon 2025 are now open!Register for the Hackney Half 2025If you've got your own place in next year's race, we'd love for you to join us! Let us know by emailing us on [email protected], or by setting up a fundraising page on JustGiving – they'll tell us you're raising money for WaterAid, and then we'll get in touch with you.",https://endurancecui.active.com/new/events/90780101/forms?_p=7923227752875632,events
https://www.wateraid.org//uk/get-involved/events/berlin-marathon,Berlin Marathon,29 September 2024,"Berlin, Germany",Run for WaterAid in the BMW Berlin Marathon – one of the six renowned World Marathon Majors.,"A fast, flat route around this vibrant, fascinating city makes Berlin a great choice for first-timers and seasoned pros alike!Attracting over 40,000 runners from around the globe – plus thousands more supporters lining the streets – this popular race enjoys a truly celebratory carnival atmosphere, along with a great chance of setting a new personal best.What a great day running the Berlin Marathon for WaterAid! Loved running in this great city.Debbie Shearing, previous runner",NA,events
https://www.wateraid.org//uk/get-involved/teaching-resources/ks4/climate-change-human-causes,KS4: Human causes of climate change,NA,NA,This lesson introduces the anthropogenic causes of climate change and explores how human activity is exacerbating the greenhouse effect.,"By the end of this lesson, pupils will be able to:explain the human causes of climate change,
judge the evidence of anthropogenic climate change.",NA,teaching resources
https://www.wateraid.org//uk/get-involved/giving/add-the-gift-of-a-donation-in-your-will,Add the gift of a donation in your will,NA,NA,Including the gift of clean water in your will is a wonderful way for you to help future generations transform their lives.,"We won’t stop until clean water, decent toilets and good hygiene are normal for everyone, everywhere. You can help create this future with a gift in your will.To add WaterAid to your will you need our name, address and registered charity numbers: WaterAid, 6th Floor, 20 Canada Square, London, E14 5NNCharity registration numbers: 288701 (England and Wales) and SC039479 (Scotland)You can order your free information pack, which contains all the practical information you need to include a gift to WaterAid in your will by clicking or tapping the button below.Order your free gifts in wills guideOr, you can simply download the information pack (PDF) now here.Adding water to your will is not just practical, giving people clean water that’s safe to drink, somewhere decent to go to the toilet and the means to wash their hands through good hygiene. It’s more personal than that. It’s your life meaning the most to someone else’s by giving them the opportunity to unlock their potential.Almost 1 in 10 people around the world don't have clean water close to home, and almost 1 in 4 don't have a decent toilet of their own. By adding water to your will, you can fund the taps and toilets that communities need to help them change their own lives forever.At WaterAid, we are grateful for every gift we receive from wonderful supporters like you. This income means that year on year, we can deliver more of the taps and toilets needed to ensure that everyone, everywhere has the clean water, decent toilets and good hygiene they need to transform their own lives.We spend every pound carefully, making sure that we use these gifts in the best possible way by ensuring that each community gets the clean water systems, decent toilets and hygiene awareness that are right for them, and that will last well into the future.With the help of amazing people like you, we've already reached millions of people with clean water, decent toilets and good hygiene, enabling entire communities to unlock their potential, break free from poverty and change their lives for good.In the last year alone, we supported:",NA,giving
https://www.wateraid.org//uk/get-involved/events/great-north-run,Great North Run,8 September 2024,Newcastle,"Take to the streets of Newcastle, Gateshead and South Shields as you join over 57,000 runners on the world's biggest half marathon.","To help support all our runners in the lead up to race day we’ve teamed up with the company RunningWithUs to provide you with a special training package. As a member of our team you’ll receive:We also provide a fundraising pack to help you meet your targets, fundraising and event resources like balloons, collecting tins and banners (upon request) and regular newsletters with support and advice from our dedicated WaterAid events team.If you have a question or would like to chat about joining Team WaterAid please get in touch.It feels amazing knowing that a little bit of effort running an event can change someone’s life. And WaterAid were always there to support me all the way.Craig Holliday, previous runner A bespoke training plan – suitable for your level of experience
Email helpline – ask a coach or physio your training, race, nutrition or injury questions
Twitter and Facebook ask-the-coach services and webinar sessions
A WaterAid running vest or technical t-shirt",NA,events
https://www.wateraid.org//uk/get-involved/events/trek-kilimanjaro,Trek Kilimanjaro,Multiple options available in 2024,NA,"Tackle Kilimanjaro: Africa's highest peak, and one of the most impressive and recognisable mountains in the world.","Join a small group of like-minded adventurers, led by an expert team from Discover Adventure, to take on this once-in-a-lifetime challenge.",https://www.discoveradventure.com/challenges/mount-kilimanjaro-trek#/dates-prices,events
https://www.wateraid.org//uk/get-involved/teaching-resources/colouring-sheets,Colouring sheets,NA,NA,"Use our free colouring sheets to support geography lessons, or as a calming mindfulness activity.","Choose from our six beautiful drawings, created by illustrator Patrick Miller, and get creative with some colouring! ",NA,teaching resources
https://www.wateraid.org//uk/get-involved/teaching-resources/ks4/managing-water-climate-change,KS4: Managing water and climate change,NA,NA,"This lesson explores the impacts of climate change on people’s access to water, and introduces different ways of managing these impacts.","By the end of this lesson, pupils will be able to:investigate the best methods for solving water access issues,select and defend the best solution to solve a water access problem.investigate the best methods for solving water access issues,


select and defend the best solution to solve a water access problem.",NA,teaching resources
https://www.wateraid.org//uk/get-involved/teaching-resources/ks3/climate-change-causes,KS3: Causes of climate change,NA,NA,"This lesson introduces the differences between weather and climate, describes the atmosphere and the greenhouse effect, and explores sources of greenhouse gases in daily activities.","By the end of this lesson, pupils will be able to:explain the greenhouse effect,
judge the evidence of natural climate change.",NA,teaching resources
https://www.wateraid.org//uk/get-involved/at-home/play-the-wateraid-minecraft-map,Play the WaterAid Minecraft map,NA,NA,"Help bring water to a village in this brand new and exclusive WaterAid world for Minecraft. Collect all the resources you need to build pipes and taps, and learn about how important it is to have clean water close to home.",Please note: in order to play this map you must have already purchased Minecraft. ,NA,at home
https://www.wateraid.org//uk/get-involved/teaching-resources/films-and-songs,Films and songs,NA,NA,How do you make water and sanitation issues engaging for students? Teach them using songs and videos!,NA,NA,teaching resources
https://www.wateraid.org//uk/get-involved/events/yorkshire-three-peaks-weekend,Yorkshire Three Peaks weekend,5 July 2024 - 7 July 2024,"Chapel-le-Dale, North Yorkshire","Summit Ingleborough, Whernside and Pen y Ghent on this tough – but achievable! – weekend.","Join a small group of like-minded trekkers on this fully-supported challenge, led by the experts at Discover Adventure.How to register",https://www.discoveradventure.com/challenges/yorkshire-three-peaks-weekend,events
https://www.wateraid.org//uk/get-involved/teaching/ks4-resources,KS4 resources,NA,NA,"Learn about the water and sanitation crisis with your KS4 pupils, explore the idea of human rights and inspire your pupils to help reach children like Cheick (above left) with clean water, decent toilets and good sanitation.",NA,NA,teaching
https://www.wateraid.org//uk/get-involved/teaching-resources/ks2/climate-change-causes,KS2: Causes of climate change,NA,NA,"This lesson introduces the differences between weather and climate, describes the atmosphere and the greenhouse effect, and explores sources of greenhouse gases in daily activities.","By the end of this lesson, pupils will be able to:explain the causes of climate change,
identify activities which create climate change.",NA,teaching resources
https://www.wateraid.org//uk/get-involved/giving/muslim-faith-giving,Muslim Faith Giving,NA,NA,"Around the world, many Muslim communities do not have clean water. It impacts their health, opportunities and religious practices. With your help, we can change this.","Clean water and good hygiene means families can stay healthy, children can spend more time in school, women and men can earn a living. By giving Zakat or Sadaqah, you can make clean water a reality for more people around the world. Your donations fund vital projects that empower communities to change their lives for the better. ",NA,giving
https://www.wateraid.org//uk/get-involved/giving/share-giving,Share giving,NA,NA,"Simple and tax-efficient, donating shares can help people change their lives with clean water, decent toilets and good hygiene.","Every day, incredible supporters like you make our work possible – and by donating shares, you’ll be helping even more people unlock their potential, break free from poverty and change their own lives, for good. ",NA,giving
https://www.wateraid.org//uk/get-involved/events/munro-challenge,WaterAid Scotland Munro Challenge,New 2024 date TBC,Any of Scotland's 282 Munros!,"Challenge yourself to tackle one of Scotland's highest peaks while supporting WaterAid's vital work in Rwanda, the land of a thousand hills.","Scotland's 282 Munros (so named after Sir Hugh Munro, who first documented them all) are over 3,000 feet high and scattered across twelve regions.",NA,events
https://www.wateraid.org//uk/get-involved/teaching-resources/ks3/managing-climate-change,KS3: Managing climate change,NA,NA,"This lesson asks how we can manage the impacts of climate change, and the explores the differences between adaptation and mitigation techniques.","By the end of this lesson, pupils will be able to:interpret the methods of managing climate change,
critique the best techniques for managing climate change.",NA,teaching resources
https://www.wateraid.org//uk/get-involved/events/ridelondon-100,RideLondon 100,25 May 2025,London and Essex,"Join thousands of riders on the capital's biggest closed-road cycling event, taking you from the heart of London to the rolling lanes of Essex – and back again!","The RideLondon-Essex 100 is a unique opportunity to ride 100 miles on traffic-free roads, through the heart of London and out into neighbouring Essex. Starting on Victoria Embankment and finishing at Tower Bridge, the ride will take you through Epping Forest and past some of Essex's most picturesque villages – including a section of the 2014 Tour de France route. Join us – and together we can make clean water, decent toilets and good hygiene a normal part of daily life, for everyone, everywhere. For a taster of what it's like to take part in the RideLondon-Surrey 100 for WaterAid, check out our thank you film from 2019: ",NA,events
